scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
210415134,112UWRPDHSB,879,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,134,1,15/4/2025
210415135,112MTHIGF8,1299,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,2,2,2,2,2,2,2,2,0,135,1,15/4/2025
210415136,112U574LGGS,899,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,136,1,15/4/2025
210415137,1151203A605020,850,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,2,2,2,1,1,1,1,1,0,137,1,15/4/2025
210415138,112U9060LBA,1299,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,1,2,1,0,138,1,15/4/2025
210415139,1KN1030630,1090,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,1,1,2,2,2,1,1,1,1,139,1,15/4/2025
210415140,1KN1030673,890,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,1,2,2,2,2,2,1,1,1,140,1,15/4/2025
210415141,112U370AH,559,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,1,0,141,1,15/4/2025
210415142,1KN1030481,1190,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,0,0,0,0,0,0,0,0,142,1,15/4/2025
210415143,10K39884631,799,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,143,1,15/4/2025
210415144,112M1000NBU,879,No Discount,100,No Discount,100,No Discount,100,0,1,1,2,2,2,2,2,2,1,0,144,1,15/4/2025
210415145,108JH5402,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,1,1,1,1,1,1,1,1,145,1,15/4/2025
210415146,112U1906RCE,1099,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,2,2,2,2,2,2,0,146,1,15/4/2025
210415147,1151203A537250,1090,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,2,1,1,1,1,147,1,15/4/2025
210415148,1KN1030144,890,VIP 10% Off,90,No Discount,100,No Discount,100,0,0,1,2,2,2,2,2,1,1,0,148,1,15/4/2025
